Time;Frame;GroundTruth x;GroundTruth y;GroundTruth v_x;GroundTruth v_y;Measurement x;Measurement y;Kalman x;Kalman y;Kalman v_x;Kalman v_y;KalmanP x;KalmanP y
30,41313;166;-4,657221;2,816136;0,962162;0,2726436;-4,640004;2,087945;-5,057982;2,925496;-0,6062581;0,6191598;0,2439246;1,38524
30,44515;167;-4,637475;2,819313;0,9872913;0,1588583;-4,55364;2,005458;-5,036488;2,899495;-0,5709692;0,596101;0,234498;1,354855
30,4458;167;-4,617496;2,820223;0,99895;0,04550219;0;0;-5,010651;2,87136;-0,5318118;0,5720418;0,2261266;1,326442
30,47999;168;-4,597539;2,818907;0,9978533;-0,06580353;-4,581176;2,283655;-5,021287;2,882801;-0,5318118;0,5720418;0,2358469;1,358698
30,51125;169;-4,577843;2,815434;0,9847879;-0,1736522;0;0;-4,997764;2,867172;-0,495794;0,5557843;0,2273579;1,330034
30,51176;169;-4,558626;2,809892;0,9608507;-0,277102;0;0;-5,007679;2,878287;-0,495794;0,5557843;0,2371615;1,362374
30,54139;170;-4,539513;2,804003;0,9556532;-0,2944469;-4,557651;2,682539;-5,017595;2,889403;-0,495794;0,5557843;0,2474019;1,395498
30,5728;171;-4,520505;2,797782;0,950408;-0,3110528;-4,527728;2,721027;-4,990291;2,890605;-0,4564468;0,5498339;0,2376443;1,364406
30,57307;171;-4,501603;2,791246;0,9450912;-0,3268003;0;0;-4,963416;2,893564;-0,4183545;0,5450105;0,2289902;1,335349
30,60305;172;-4,482808;2,78441;0,9397507;-0,3417969;-4,554907;3,092786;-4,971783;2,904464;-0,4183545;0,5450105;0,2388974;1,367792
30,60335;172;-4,464119;2,777288;0,9344578;-0,356102;0;0;-4,94753;2,92328;-0,3837686;0,5497602;0,2301254;1,338511
30,6363;173;-4,445536;2,769894;0,929141;-0,3697038;-4,512737;2,965228;-4,955206;2,934276;-0,3837686;0,5497602;0,2401026;1,371027
30,67126;174;-4,427057;2,762244;0,9239674;-0,3824949;-4,458669;2,90747;-4,928188;2,946163;-0,3469187;0,5502957;0,2312138;1,34153
30,67167;174;-4,408681;2,754349;0,9187937;-0,3947496;0;0;-4,899662;2,954993;-0,3092048;0,5489898;0,2232983;1,31393
